semSort,鑑ヘッダ\n文書ヘッダ\n明細行,core_id,id,レベル,繰返し,項目名,項目種,Object Class,Property,Representation,Associated Class,項目定義,UN_CCL_ID,項目種,行番号,SME ID,項目名,項目定義,既定値,繰返し,Level,SME CII XPath,PINT syntax sort,Id,Card.,Level,Business Term,Business Term ja,Description,説明,既定値,UBL XPath
1940,鑑ヘッダ,JBT-066-1,A10-04,2,0..1,売り手国際企業コードスキーマID,BBIE,Partry,GlobalIDSchemeID,Code,,コードの発番機関コード,,,,,,,,,,,1650,IBT-030-1,0..1,3,Seller legal registration identifier Scheme identifier,スキーマID,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO/IEC 6523 保守機関が公開しているリストから選択しなければならない。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
1950,鑑ヘッダ,JBT-067,A10-05,2,1..1,売り手名称,BBIE,Partry,Name,Text,,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,UN01005759,BBIE,1560,IID26,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:Name,1630,IBT-027,1..1,2,Seller name,売り手名称,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
1960,鑑ヘッダ,JBT-068,A10-06,2,0..1,売り手商号,BBIE,Partry,TradeName,Text,,売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,,,,,,,,,,,1500,IBT-028,0..1,2,Seller trading name,売り手商号,"A name by which the Seller is known	 other than Seller name (also known as Business name).",売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
1970,鑑ヘッダ,JBT-069,A10-07,2,1..1,適格請求書発行事業者登録番号,BBIE,Partry,RegisteredID,Identifier,,国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）\nT1234567890123,UN01013039,BBIE,1570,IID27,適格請求書発行事業者登録番号,国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）\nT1234567890123,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:RegisteredID,1590,IBT-031,0..1,2,Seller TAX identifier,売り手税ID,The Seller’s TAX identifier (also known as Seller TAX identification number).,売り手の税ID(売り手の税識別番号ともよばれる）。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cbc:CompanyID
1980,鑑ヘッダ,JBT-069-1,A10-08,2,0..1,適格請求書発行事業者登録番号税スキーマ,BBIE,Partry,RegisteredIDTaxSchema,Code,,適格請求書発行事業者の課税区分を識別するコード,UN01012925,BBIE,1580,IID28,受注者タイプコード,適格請求書発行事業者の課税区分を識別するコード,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:TypeCode,1600,,1..1,3,Tax Scheme,税スキーマ,A code indicating the type of tax,税の種類を示すコード。VAT固定,VAT,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
1990,鑑ヘッダ,JBT-070,A10-09,2,1..1,売り手税登録ID,BBIE,Partry,TaxRegisteredID,Identifier,,適格請求書発行事業者の課税区分を識別するコード,,,,,,,,,,,1610,IBT-032,0..1,2,Seller TAX registration identifier,売り手税登録ID,The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID
2000,鑑ヘッダ,JBT-070-1,A10-10,2,0..1,売り手税登録ID税スキーマ,BBIE,Partry,TaxRegisteredIDTaxSchema,Code,,VAT以外の固定値,,,,,,,,,,,1620,,1..1,3,Tax Scheme,税スキーマ,A code indicating the type of tax,税の種類を示すコード。VAT以外固定,GST,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
2010,鑑ヘッダ,,,,,,,,,,,,,,,,,,,,,,1660,IBT-033,0..1,2,Seller additional legal information,売り手追加法的情報,Additional legal information relevant for the Seller.,売り手に関する追加の法的情報。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
2020,鑑ヘッダ,,,,,,,,,,,送信者の国際アドレスグループ,UN01005763,ASBIE,1590,ICL8,送信者／国際アドレスグループ,送信者の国際アドレスグループ,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:EndPointURICIUniversalCommunication,1450,,1..1,,,,,,,/Invoice/cac:AccountingSupplierParty/cac:Party
2030,鑑ヘッダ,JBT-071,A10-11,2,1..1,売り手国際アドレス,BBIE,Partry,EndPointAddress,Code,,jp-pint対応国際アドレス番号,UN01005860,BBIE,1600,IID42,国際アドレス,jp-pint対応国際アドレス番号,,1..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:EndPointURICIUniversalCommunication/ram:CompleteNumber,1460,IBT-034,1..1,2,Seller electronic address,売り手電子アドレス,Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
2040,鑑ヘッダ,JBT-071-1,A10-12,2,1..1,売り手国際アドレス登録機関コード,BBIE,Partry,EndPointAddressChannelCode,Code,,JP-PINT対応国際アドレス登録機関のコード,UN01005859,BBIE,1610,IID41,国際アドレス登録機関コード,JP-PINT対応国際アドレス登録機関のコード,,1..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:EndPointURICIUniversalCommunication/ram:ChannelCode,1470,IBT-034-1,1..1,3,Seller electronic address Scheme identifier,スキーマID,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID
2050,鑑ヘッダ,JBG-010,A11,2,0..1,売り手連絡先,ASBIE,Partry,Defined,__,Contact,連絡先に関する情報のグループ,UN01005761,ASBIE,1620,ICL6,受注者／連絡先グループ,受注者の連絡先に関するグループ,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact,1670,IBG-06,0..1,2,SELLER CONTACT,売り手連絡先,A group of business terms providing contact information about the Seller.,売り手の連絡先に係る情報を提供するビジネス用語のグループ。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact
2060,鑑ヘッダ,JBT-072,A11-01,3,0..1,受注部門コード,BBIE,Contact,ID,Code,,売り手の受注部門を表すコード。,UN01005719,BBIE,1630,IID29,受注部門コード,受注者の受注部門を表すコード。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:ID,,,,,,,,,,
2070,鑑ヘッダ,JBT-073,A11-02,3,0..1,売り手担当名,BBIE,Contact,PersonName,Text,,売り手連絡先の個人の、文字で表現された名前。,UN01005720,BBIE,1640,IID30,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:PersonName,1680,IBT-041,0..1,3,Seller contact point,売り手連絡先,A contact point for a legal entity or person.,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name
2080,鑑ヘッダ,JBT-074,A11-03,3,0..1,売り手部門名,BBIE,Contact,DepartmentName,Text,,売り手の受注部門の名称。,UN01005721,BBIE,1650,IID31,受注者部門名,受注者の受注部門の名称。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName,,,,,,,,,,
2090,鑑ヘッダ,JBT-075,A11-04,3,0..1,売り手担当コード,BBIE,Contact,PersonID,Code,,売り手個人を表すコード,UN01005725,BBIE,1660,IID32,受注者担当コード,受注者個人を表すコード,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:PersonID,,,,,,,,,,
2100,鑑ヘッダ,JBT-076,A11-05,3,0..1,売り手電話番号,BBIE,Contact,PhoneNumber,Code,,売り手の電話番号。,UN01005860,BBIE,1670,IID33,受注者電話番号,受注者の電話番号。,,0..1,7,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber,1690,IBT-042,0..1,3,Seller contact telephone number,売り手連絡先電話番号,A phone number for the contact point.,売り手の連絡先電話番号。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone
2110,鑑ヘッダ,JBT-077,A11-06,3,0..1,売り手FAX番号,BBIE,Contact,FaxNumber,Code,,売り手のFAX番号,UN01005860,BBIE,1680,IID34,受注者FAX番号,受注者のFAX番号,,0..1,7,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber,,,,,,,,,,
2120,鑑ヘッダ,JBT-078,A11-07,3,0..1,売り手メールアドレス,BBIE,Contact,MailAddress,Text,,売り手の電子メールアドレス。,UN01005858,BBIE,1690,IID35,受注者メールアドレス,受注者の電子メールアドレス。,,0..1,7,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID,1700,IBT-043,0..1,3,Seller contact email address,売り手連絡先電子メールアドレス,An e-mail address for the contact point.,売り手の連絡先電子メールアドレス。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail
2130,鑑ヘッダ,JBG-011,A12,2,0..1,売り手住所,ASBIE,Partry,Postal,__,Address,売り手住所に関する情報のグループ,UN01005762,ASBIE,1700,ICL7,受注者／住所グループ,受注者の住所に関するグループ。,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress,1510,IBG-05,1..1,2,SELLER POSTAL ADDRESS,売り手住所,A group of business terms providing information about the address of the Seller.,売り手の住所に関する情報を提供するビジネス用語のグループ。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress
2140,鑑ヘッダ,JBT-079,A12-01,3,0..1,売り手郵便番号,BBIE,Address,PostCode,Code,,売り手の郵便番号。,UN01005689,BBIE,1710,IID36,受注者郵便番号,受注者の郵便番号。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode,1550,IBT-038,0..1,3,Seller post code,売り手郵便番号,The identifier for an addressable group of properties according to the relevant postal service.,売り手の住所の郵便番号。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
2150,鑑ヘッダ,JBT-080,A12-02,3,0..1,売り手住所1,BBIE,Address,LineOne,Text,,売り手の住所1行目。,UN01005692,BBIE,1720,IID37,受注者住所1,受注者の住所1行目。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineOne,1520,IBT-035,0..1,3,Seller address line 1,売り手住所欄1,The main address line in an address.,売り手の住所の主な記載欄。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
2160,鑑ヘッダ,JBT-081,A12-03,3,0..1,売り手住所2,BBIE,Address,LineTwo,Text,,売り手の住所2行目。,UN01005693,BBIE,1730,IID38,受注者住所2,受注者の住所2行目。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineTwo,1530,IBT-036,0..1,3,Seller address line 2,売り手住所欄2,An additional address line in an address that can be used to give further details supplementing the main line.,売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
2170,鑑ヘッダ,JBT-082,A12-04,3,0..1,売り手住所3,BBIE,Address,LineThree,Text,,売り手の住所3行目。,UN01005694,BBIE,1740,IID39,受注者住所3,受注者の住所3行目。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineThree,1570,IBT-162,0..1,3,Seller address line 3,売り手住所欄3,An additional address line in an address that can be used to give further details supplementing the main line.,売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
2180,鑑ヘッダ,JBT-083,A12-05,3,0..1,売り手住所 市区町村,BBIE,Address,CityName,Text,,売り手が所在する市、町、村の通称。,,,,,,,,,,,1540,IBT-037,0..1,3,Seller city,売り手住所 市区町村,"The common name of the city	 town or village	 where the Seller address is located.",売り手が所在する市、町、村の通称。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
2190,鑑ヘッダ,JBT-084,A12-06,3,0..1,売り手住所 都道府県,BBIE,Address,CountrySubentity,Text,,売り手の住所の地方区分。,,,,,,,,,,,1560,IBT-039,0..1,3,Seller country subdivision,売り手住所 都道府県,The subdivision of a country.,売り手の住所の地方区分。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
2200,鑑ヘッダ,JBT-085,A12-07,3,1..1,売り手国識別子,BBIE,Address,CountryID,Code,,売り手の国ID。デフォルトは「JP」,UN01005700,BBIE,1750,IID40,受注者国識別子,受注者の国ID。デフォルトは「JP」,,1..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:CountryID,1580,IBT-040,1..1,3,Seller country code,売り手国コード,A code that identifies the country.,売り手の住所の国コード。,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
2210,鑑ヘッダ,JBG-12,A13,1,1..1,買い手,ASBIE,Invoice,Buyer,__,Partry,買い手に関する情報のグループ,UN01005880,ASBIE,1760,ICL9,インボイス文書契約／発注者グループ,発注者に関するグループ。,,1..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty,1710,IBG-07,1..1,1,BUYER,買い手,A group of business terms providing information about the Buyer.,買い手に係る情報を提供するビジネス用語のグループ。,,/Invoice/cac:AccountingCustomerParty
2220,鑑ヘッダ,JBT-086,A13-01,2,1..1,買い手コード,BBIE,Partry,ID,Identifier,,注文を行う企業/工場・事業所・事業部門等を表すコード。デフォルトはデータなし。,UN01005757,BBIE,1770,IID43,発注者コード,注文を行う企業/工場・事業所・事業部門等を表すコード。デフォルトはデータなし。,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:ID,1750,IBT-046,0..1,2,Buyer identifier,買い手ID,An identifier of the Buyer.,買い手を表すID。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
2230,鑑ヘッダ,JBT-086-1,A13-02,2,0..1,買い手コードスキーマID,BBIE,Partry,IDSchemeID,Code,,コードの発番機関コード,,,,,,,,,,,1760,IBT-046-1,0..1,3,Buyer identifier Scheme identifier,スキーマID,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
2240,鑑ヘッダ,JBT-087,A13-03,2,0..1,買い手国際企業コード,BBIE,Partry,GlobalID,Identifier,,注文を行う企業を表す国際企業コード。中小企業共通EDIでは法人番号を利用,UN01005758,BBIE,1780,IID44,発注者国際企業コード,注文を行う企業を表す国際企業コード。中小企業共通EDIでは法人番号を利用,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:GlobalID,1890,IBT-047,0..1,2,Buyer legal registration identifier,買い手法人ID,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,買い手を表す法人ID。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
2250,鑑ヘッダ,JBT-087-1,A13-04,2,0..1,買い手国際企業コードスキーマID,BBIE,Partry,GlobalIDSchemeID,Code,,コードの発番機関コード,,,,,,,,,,,1900,IBT-047-1,0..1,3,Buyer legal registration identifier Scheme identifier,スキーマID,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
2260,鑑ヘッダ,JBT-088,A13-05,2,1..1,買い手名称,BBIE,Partry,Name,Text,,発注を行う企業/工場・事業所・事業部門等の名称,UN01005759,BBIE,1790,IID45,発注者名称,発注を行う企業/工場・事業所・事業部門等の名称,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:Name,1880,IBT-044,1..1,2,Buyer name,買い手名称,The full name of the Buyer.,買い手の名称。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
2270,鑑ヘッダ,JBT-089,A13-06,2,0..1,買い手商号,BBIE,Partry,TradeName,Text,,買い手名称以外で、知られているビジネス上の名称。,,,,,,,,,,,1770,IBT-045,0..1,2,Buyer trading name,買い手商号,"A name by which the Buyer is known	 other than Buyer name (also known as Business name).",買い手名称以外で、知られているビジネス上の名称。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
2280,鑑ヘッダ,JBT-090,A13-07,2,0..1,適格請求書発行事業者登録番号,BBIE,Partry,RegisteredID,Identifier,,登録された買い手の適格請求書発行事業者登録番号\n（免税事業者についてはなし）,UN01013039,BBIE,1800,IID46,適格請求書発行事業者登録番号,登録された発注者の適格請求書発行事業者登録番号\n（免税事業者についてはなし）,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:RegisteredID,1860,IBT-048,0..1,2,Buyer TAX identifier,買い手税ID,The Buyer’s TAX identifier (also known as Buyer TAX identification number).,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
2290,鑑ヘッダ,JBT-090-1,A13-08,2,1..1,適格請求書発行事業者登録番号税スキーマ,BBIE,Partry,RegisteredIDTaxSchema,Code,,適格請求書発行事業者の課税区分を識別するコード,UN01012925,BBIE,1810,IID47,発注者タイプコード,適格請求書発行事業者の課税区分を識別するコード,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:TypeCode,1870,IBT-048-1,1..1,3,Tax Scheme,税スキーマ,A code indicating the type of tax,税の種類を示すコード。VAT固定,VAT,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
2300,鑑ヘッダ,,,,,,,,,,,送信者の国際アドレスグループ,UN01005765,ASBIE,1820,ICL12,送信者／国際アドレスグループ,送信者の国際アドレスグループ,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:EndPointURICIUniversalCommunication,1720,,1..1,,,,,,,/Invoice/cac:AccountingCustomerParty/cac:Party
2310,鑑ヘッダ,JBT-091,A13-09,2,1..1,買い手国際アドレス,BBIE,Partry,EndPointAddress,Code,,jp-pint対応国際EDIアドレス番号,UN01005860,BBIE,1830,IID61,国際アドレス,jp-pint対応国際アドレス番号,,1..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:EndPointURICIUniversalCommunication/ram:CompleteNumber,1730,IBT-049,1..1,2,Buyer electronic address,買い手電子アドレス,Identifies the Buyer’s electronic address to which the invoice is delivered.,請求書の送信先となる買い手の電子アドレスを識別する。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID
2320,鑑ヘッダ,JBT-091-1,A13-10,2,1..1,買い手国際アドレス登録機関コード,BBIE,Partry,EndPointAddressChannelCode,Code,,JP-PINT対応国際EDIアドレス登録機関のコード,UN01005859,BBIE,1840,IID60,国際アドレス登録機関コード,JP-PINT対応国際アドレス登録機関のコード,,1..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:EndPointURICIUniversalCommunication/ram:ChannelCode,1740,IBT-049-1,1..1,3,Buyer electronic address Scheme identifier,スキーマID,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID
2330,鑑ヘッダ,JBG-13,A14,2,0..1,買い手連絡先,ASBIE,Partry,Defined,__,Contact,連絡先に関する情報のグループ,UN01005761,ASBIE,1850,ICL10,発注者／連絡先グループ,発注者の連絡先に関するグループ,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact,1910,IBG-09,0..1,2,BUYER CONTACT,買い手連絡先,A group of business terms providing contact information relevant for the Buyer.,買い手の連絡先に係る情報を提供するビジネス用語のグループ。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact
2340,鑑ヘッダ,JBT-092,A14-01,3,0..1,買い手部門コード,BBIE,Contact,ID,Code,,買い手の発注部門を表すコード。,UN01005719,BBIE,1860,IID48,発注者部門コード,発注者の発注部門を表すコード。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:ID,,,,,,,,,,
2350,鑑ヘッダ,JBT-093,A14-02,3,0..1,買い手担当名,BBIE,Contact,PersonName,Text,,買い手の発注担当者の名称,UN01005720,BBIE,1870,IID49,発注者担当名,発注者の発注担当者の名称,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:PersonName,1920,IBT-056,0..1,3,Buyer contact point,買い手連絡先,A contact point for a legal entity or person.,買い手の法人や個人の連絡先。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
2360,鑑ヘッダ,JBT-094,A14-03,3,0..1,買い手部門名,BBIE,Contact,DepartmentName,Text,,買い手の発注部門の名称。,UN01005721,BBIE,1880,IID50,発注者部門名,発注者の発注部門の名称。,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName,,,,,,,,,,
2370,鑑ヘッダ,JBT-095,A14-04,3,0..1,買い手担当コード,BBIE,Contact,PersonID,Code,,買い手個人を表すコード,UN01005725,BBIE,1890,IID51,発注者担当コード,発注者個人を表すコード,,0..1,6,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:PersonID,,,,,,,,,,
2380,鑑ヘッダ,JBT-096,A14-05,3,0..1,買い手電話番号,BBIE,Contact,PhoneNumber,Code,,買い手の電話番号。,UN01005860,BBIE,1900,IID52,発注者電話番号,発注者の電話番号。,,0..1,7,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber,1930,IBT-057,0..1,3,Buyer contact telephone number,買い手連絡先電話番号,A phone number for the contact point.,買い手の連絡先電話番号。,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
2390,鑑ヘッダ,JBT-097,A14-06,3,0..1,買い手FAX番号,BBIE,Contact,FaxNumber,Code,,買い手のFAX番号,UN01005860,BBIE,1910,IID53,発注者FAX番号,発注者のFAX番号,,0..1,7,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber,,,,,,,,,,
